comprador,email,telefono,web_compras,notas
PBAC,,,https://pbac.cgp.gba.gov.ar,"Portal de compras de la Provincia de Bs. As. El contacto puntual de la unidad ejecutora figura DENTRO del pliego de cada proceso."
BAC,,,https://www.buenosairescompras.gob.ar,"Portal de compras de la Ciudad de Bs. As. El contacto de la reparticion figura dentro del pliego."
La Matanza,compras@lamatanza.gov.ar,4482-4969,https://www.lamatanza.gov.ar/economia/proveedores,"Direccion de Compras - Almafuerte 3050, 2 piso, San Justo. 8:30 a 13:00. Registro de proveedores: proveedoreslamatanza@gmail.com / tel 4482-4961."
Moron,registro.proveedores@moron.gob.ar,011-4489-7715,https://apps.moron.gob.ar/ext/rafam_portal/index.php,"Direccion de Compras y Contrataciones - Brown 946, 1 piso. Lun a vie 9 a 15. Usa portal RAFAM."
Tres de Febrero,registroproveedores@tresdefebrero.gov.ar,6065-0760 int 1075,https://www.tresdefebrero.gov.ar/hacienda/contrataciones/,"Direccion de Compras y Contrataciones - J. B. Alberdi 4840, Caseros (entrepiso). Lun a vie 9 a 15. WhatsApp 11 4160-1646."
Tigre,compras@tigre.gob.ar,,https://www.tigre.gob.ar/tramites/inscripcion_proveedores,"Direccion de Compras - Av. Cazon 1514 (acceso por Bourdieu 543). Lun a vie 8 a 14. Toda la documentacion va a compras@tigre.gob.ar."
San Isidro,compras@sanisidro.gob.ar,4512-3059 / 3060 / 3605,https://www.sanisidro.gob.ar/compras,"Direccion General de Compras - Av. Centenario 77, piso 1. Lun a vie 8 a 14."
San Fernando,compras@sanfernando.gov.ar,4746-7672,https://www.sanfernando.gob.ar/municipio/secretarias/secretaria-de-economia/oficina-municipal-de-compras-y-contrataciones,"Oficina Municipal de Compras y Contrataciones - Constitucion 1044, 2 piso. Director: Lucas Marcasoli."
Lanus,compras@lanus.gob.ar,0800-333-5268,https://www.lanus.gob.ar/fichas/513-licitaciones-publicas,"Direccion General de Compras - Av. Hipolito Yrigoyen 3863, 3 piso. 9 a 13. WhatsApp 11 5914 7826."
La Plata,proveedores@laplata.gov.ar,0221-4291024,https://www.laplata.gob.ar/,"Direccion General de Compras y Suministros. Tel/Fax (0221) 4291024."
Ensenada,compras@ensenada.gov.ar,0221-460-2343,https://www.ensenada.gov.ar/inscripcion-de-proveedores/,"Jefatura de Compras (Laura Lasserre) - San Martin y Pte. Peron. Lun a vie 8 a 15. Hacienda: hacienda@ensenada.gov.ar / 0221 460-1428."
Mercedes,licitaciones@mercedes.gob.ar,2324-423021,https://nw.mercedes.gob.ar/transparencia/compras/licitaciones,"Direccion de Compras - Calle 29 N 575 e/ 24 y 26. Alta de proveedores: altaproveedores@mercedes.gob.ar."
Florencio Varela,comprasmayores@florenciovarela.gov.ar,,https://www.varela.gob.ar/lic/,"Direccion General de Compras y Suministros - Calle 25 de Mayo de 1810 N 2725. Pliegos hasta 48 hs antes de la apertura."
Ezeiza,aperez@ezeiza.gob.ar,4885-9000 int 154,https://www.ezeiza.gob.ar/areas_de_gobierno-compras.php,"Direccion de Compras (Adriana Perez)."
Lujan,licitaciones@lujan.gov.ar,,https://lujan.gob.ar/?q=licitaciones,"Municipalidad de Lujan (Bs. As.) - San Martin 550. Mail para notificaciones de licitaciones."
Campana,compras@campana.gov.ar,,https://www.campana.gob.ar/compras/,"Direccion de Compras - Avda. Varela 750. Lun a vie 9 a 14. Tambien lmendieta@campana.gov.ar, sdecia@campana.gov.ar."
Merlo,mesadeentradas@merlo.gob.ar,0220-483-0954,https://www.merlo.gob.ar/licitaciones2/,"Direccion de Compras - Av. Libertador Gral. San Martin 391. Lun a vie 8 a 15. El mail es de mesa de entradas (consultas generales)."
Escobar,infovecinos@escobar.gob.ar,,https://www.escobar.gob.ar/licitaciones/,"Direccion de Compras y Suministros - J. M. Estrada 599, Belen de Escobar. 8:30 a 14:30. El mail es el general del municipio."
Lomas de Zamora,,2054-0673 / 2054-0676,https://lomasdezamora.gov.ar/,"Direccion Municipal de Compras - Manuel Castro 220, 3 piso. Sin email publicado."
Quilmes,,0800-999-5656,https://quilmes.gov.ar/servicios/contrataciones.php,"Direccion General de Compras - Alberdi 500, 3 piso (Licitaciones en el 2). Lun a vie 8 a 14. Sin email publicado."
Almirante Brown,,,https://www.almirantebrown.gov.ar/transparencia/manualdecompras,"Direccion General de Compras y Contrataciones - Rosales 1312, 3 piso, Adrogue. Formato de mail del municipio: nombre.apellido@brown.gob.ar."
Avellaneda,,,https://avellaneda.gob.ar/portal-ciudadano/licitaciones-y-concursos/,"Jefatura de Compras y Suministros - Guemes 835, 2 piso. Sin email/telefono directo publicado."
Vicente Lopez,,,https://www.vicentelopez.gov.ar/portal-proveedores/,"Direccion General de Compras y Licitaciones. Portal de proveedores (hay que registrarse para recibir los pliegos)."
General San Martin,,,https://www.sanmartin.gob.ar/,"Direccion de Compras - 2 piso del edificio municipal. Sin email publicado; verificar en el pliego."
Berazategui,,011-4356-9200 int 1135,https://berazategui.gob.ar/licitaciones/,"Direccion de Compras - Av. 14 e/ 131 y 131A, 2 piso. Sin email de compras (el del sitio es de planeamiento)."
Pilar,,0230-4669225 int 9218,https://pilar.gov.ar/,"Registro de Proveedores y Licitadores - Rivadavia 660. Lun a vie 9 a 14. Sin email de compras confirmado."
Moreno,,,https://www.moreno.gob.ar/,"Publica las licitaciones en el Boletin Oficial de la Provincia y en un diario del partido. Sin portal ni email de compras identificado."
Esteban Echeverria,,,https://www.estebanecheverria.gob.ar/secretaria-de-hacienda/,"Secretaria de Hacienda (coordina compras) - Sofia T. Santamarina 455, Monte Grande. Sin email de compras identificado."
Hurlingham,,,https://www.hurlingham.gob.ar/,"Direccion de Compras - 2 piso del Edificio Municipal. Venta de pliegos 9 a 14 hasta 1 dia habil antes de la apertura. Sin email publicado."
Jose C. Paz,,02320-440611,https://josecpaz.gob.ar/,"Gaspar Campos 6151. Aperturas via Secretaria de Obras Publicas. Sin email de compras identificado."
